raw	safe
CASP7_M1 Cytoplasm	CASP7_M1_Cytoplasm
CASP7_M1 Cytoplasm_1	CASP7_M1_Cytoplasm_1
CASP7_M2 Cytoplasm	CASP7_M2_Cytoplasm
CASP7_M2 Cytoplasm_1	CASP7_M2_Cytoplasm_1
CASP7_PDC Cytoplasm	CASP7_PDC_Cytoplasm
CASP7_PDC Cytoplasm_1	CASP7_PDC_Cytoplasm_1
CASP7_PLASMA Cytoplasm	CASP7_PLASMA_Cytoplasm
CASP7_SGEC Cytoplasm	CASP7_SGEC_Cytoplasm
CASP7_SGEC Cytoplasm_1	CASP7_SGEC_Cytoplasm_1
CASP7_TFH Cytoplasm	CASP7_TFH_Cytoplasm
CASP7_TFH Cytoplasm_1	CASP7_TFH_Cytoplasm_1
CASP7_TH1 Cytoplasm	CASP7_TH1_Cytoplasm
CASP7_TH1 Cytoplasm_1	CASP7_TH1_Cytoplasm_1
CASP7_TH17 Cytoplasm	CASP7_TH17_Cytoplasm
CASP7_TH17 Cytoplasm_1	CASP7_TH17_Cytoplasm_1
CASP7_TREG Cytoplasm	CASP7_TREG_Cytoplasm
CASP7_TREG Cytoplasm_1	CASP7_TREG_Cytoplasm_1
CASP8_BCELL Cytoplasm	CASP8_BCELL_Cytoplasm
CASP8_M1 Cytoplasm	CASP8_M1_Cytoplasm
CASP8_M2 Cytoplasm	CASP8_M2_Cytoplasm
CASP8_PDC Cytoplasm	CASP8_PDC_Cytoplasm
CASP8_PLASMA Cytoplasm	CASP8_PLASMA_Cytoplasm
CASP8_SGEC Cytoplasm	CASP8_SGEC_Cytoplasm
CASP8_TFH Cytoplasm	CASP8_TFH_Cytoplasm
CASP8_TH1 Cytoplasm	CASP8_TH1_Cytoplasm
CASP8_TH17 Cytoplasm	CASP8_TH17_Cytoplasm
CASP8_TREG Cytoplasm	CASP8_TREG_Cytoplasm
CCL11/CCR3_complex	CCL11_CCR3_complex
CCL11_Extracellular	CCL11_Extracellular
CCL11_M2 Cytoplasm	CCL11_M2_Cytoplasm
CCL11_SGEC Cytoplasm	CCL11_SGEC_Cytoplasm
CCL13	CCL13
CCL13_gene_M1 Nucleus	CCL13_gene_M1_Nucleus
CCL13_gene_M2 Nucleus	CCL13_gene_M2_Nucleus
CCL16	CCL16
CCL16/CCR1_complex_M1 Cytoplasm	CCL16_CCR1_complex_M1_Cytoplasm
CCL16/CCR1_complex_M2 Cytoplasm	CCL16_CCR1_complex_M2_Cytoplasm
CCL19-21/CCR7_complex	CCL19_21_CCR7_complex
CCL19/CCRL2_complex_M1 Cytoplasm	CCL19_CCRL2_complex_M1_Cytoplasm
CCL19/CCRL2_complex_M2 Cytoplasm	CCL19_CCRL2_complex_M2_Cytoplasm
CCL19/CCRL2_complex_PDC Cytoplasm	CCL19_CCRL2_complex_PDC_Cytoplasm
CCL19_Extracellular	CCL19_Extracellular
CCL19_Secreted	CCL19_Secreted
CCL19_gene	CCL19_gene
CCL19_rna	CCL19_rna
CCL2/CCR2_complex_M1 Cytoplasm	CCL2_CCR2_complex_M1_Cytoplasm
CCL2/CCR2_complex_M2 Cytoplasm	CCL2_CCR2_complex_M2_Cytoplasm
CCL20	CCL20
CCL20/CCR6_complex_BCELL Cytoplasm	CCL20_CCR6_complex_BCELL_Cytoplasm
CCL20/CCR6_complex_TH17 Cytoplasm	CCL20_CCR6_complex_TH17_Cytoplasm
CCL21_Extracellular	CCL21_Extracellular
CCL21_Secreted	CCL21_Secreted
CCL21_gene	CCL21_gene
CCL23	CCL23
CCL25	CCL25
CCL25/CCR9_complex_PLASMA Cytoplasm	CCL25_CCR9_complex_PLASMA_Cytoplasm
CCL25/CCR9_complex_TH1 Cytoplasm	CCL25_CCR9_complex_TH1_Cytoplasm
