node_id	node_name	node_type	compartment_id	celltype	confidence	rule	evidence	plausibility_score	source
20534	MALT1	Protein	20513	BCELL	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20534	MALT1	Protein	20513	M1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20534	MALT1	Protein	20513	M2	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20534	MALT1	Protein	20513	PLASMA	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20534	MALT1	Protein	20513	TFH	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20534	MALT1	Protein	20513	TH1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20534	MALT1	Protein	20513	TH17	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20534	MALT1	Protein	20513	TREG	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	80	CBM signalosome
20535	LTBR	Protein	20513	BCELL	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	LTβR stromal/epithelial PMID:9716579
20535	LTBR	Protein	20513	SGEC	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback	75	LTβR stromal/epithelial PMID:9716579
20536	Allergen/IgE/FCERI	Complex	20513	BCELL	MEDIUM	R4	R-HSA-2871837	65	Reactome:R-HSA-2871837 via MINERVA notes
20536	Allergen/IgE/FCERI	Complex	20513	PLASMA	MEDIUM	R4	R-HSA-2871837	65	Reactome:R-HSA-2871837 via MINERVA notes
20537	IgE	Protein		UNASSIGNED		R7		0	
20538	FCER1A	Protein	20513	M1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	FcεRI α — pDC; PMID:11160276
20538	FCER1A	Protein	20513	PDC	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	75	FcεRI α — pDC; PMID:11160276
20539	FCER1G	Protein	20513	M1	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	78	FcεRI γ-chain shared myeloid
20539	FCER1G	Protein	20513	M2	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	78	FcεRI γ-chain shared myeloid
20539	FCER1G	Protein	20513	PDC	MEDIUM	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	78	FcεRI γ-chain shared myeloid
20540	MS4A2	Protein	20513	M1	LOW	R6c	curated_from_R6;orig_evidence=default_signaling_fallback_isolated_in_compartment_20513	70	FcεRI β — mast cell primary; minor M1
20541	Allergen	Simple molecule		UNASSIGNED		R7		0	
