Species_ID,Relation1,Identifier1,Constant,InitialLevel,Comments
IFITM2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20888 BCELL_s20888
IFIT5_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20899 BCELL_s20899
CASP7_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20901 BCELL_s20901
ISG15_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20902 BCELL_s20902
SMAD4_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20906 BCELL_s20906
TLR10L/TLR10_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20907 BCELL_s20907
TLR10_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20909 BCELL_s20909
IFNGR_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20911 BCELL_s20911
IFNGR1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20912 BCELL_s20912
IFNGR2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20913 BCELL_s20913
RCAN_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20914 BCELL_s20914
RIPK1_BCELL Cytoplasm_2,isDescribedBy,,True,,sa_BCELL_s20916 BCELL_s20916
TANK_BCELL Cytoplasm_2,isDescribedBy,,True,,sa_BCELL_s20917 BCELL_s20917
TRAF5_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20918 BCELL_s20918
MHC1/B2M/LILR_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20919 BCELL_s20919
LILRA3_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20922 BCELL_s20922
RIPK3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20923 BCELL_s20923
CHUK_BCELL Cytoplasm_2,isDescribedBy,,True,,sa_BCELL_s20925 BCELL_s20925
CHUK_BCELL Cytoplasm_3,isDescribedBy,,True,,sa_BCELL_s20926 BCELL_s20926
IFIT2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20928 BCELL_s20928
