Target,Level,Rule,Relation1,Identifier1
SRC_BCELL Cytoplasm,1,GNAI_BCELL Cytoplasm_1,isDescribedBy,
RSAD2_BCELL Cytoplasm,1,RSAD2_rna_BCELL Nucleus,isDescribedBy,
IFIT3_BCELL Cytoplasm,1,IFIT3_rna_BCELL Nucleus,isDescribedBy,
HLA-DQA1_BCELL Cytoplasm,1,HLA-DQA1_rna_BCELL Nucleus,isDescribedBy,
FCGR1BP_BCELL Cytoplasm,1,FCGR1BP_rna_BCELL Nucleus,isDescribedBy,
STAT1_BCELL Cytoplasm_2,1,HDAC3_BCELL Cytoplasm,isDescribedBy,
"TNFRSF10A,B_BCELL Cytoplasm_1",1,TNFRSF10A_rna_BCELL Nucleus,isDescribedBy,
OAS1_BCELL Cytoplasm,1,OAS1_rna_BCELL Nucleus,isDescribedBy,
IP6K2_BCELL Cytoplasm,1,IP6K2_rna_BCELL Nucleus,isDescribedBy,
IFITM3_BCELL Cytoplasm,1,IFITM3_rna_BCELL Nucleus,isDescribedBy,
ISG15_BCELL Cytoplasm_1,1,(UBE2L6_BCELL Cytoplasm|HERC5_BCELL Cytoplasm)&ISG15_BCELL Cytoplasm&!UBA7_BCELL Cytoplasm,isDescribedBy,
MDM2_BCELL Cytoplasm_1,1,MDM2_BCELL Cytoplasm&AKT_BCELL Cytoplasm&!GORAB_BCELL Cytoplasm,isDescribedBy,
STAT1_BCELL Cytoplasm_3,1,(JAK1_BCELL Cytoplasm|TYK2_BCELL Cytoplasm)&STAT1_BCELL Cytoplasm_2,isDescribedBy,
IFNA/IFNAR_complex_BCELL Cytoplasm,1,IFNA_Extracellular&IFNAR_complex_BCELL Cytoplasm,isDescribedBy,
TRIM34_BCELL Cytoplasm,1,TRIM34_rna_BCELL Nucleus,isDescribedBy,
BIRC2_BCELL Cytoplasm_1,1,BIRC2_rna_BCELL Nucleus,isDescribedBy,
IRF1_BCELL Cytoplasm_1,1,IRF1_rna_BCELL Nucleus,isDescribedBy,
BLNK,1,SYK_BCELL Cytoplasm,isDescribedBy,
BCR_complex_BCELL Cytoplasm,1,antigen,isDescribedBy,
BTK,1,BLNK&!PTPN6_BCELL Cytoplasm,isDescribedBy,
IL1R_complex_BCELL Cytoplasm,1,IL1&IL1R1_BCELL Cytoplasm,isDescribedBy,
VCAM/ITGA4/ITGB1_complex_BCELL Cytoplasm,1,VCAM1_Extracellular&ITGA4/ITGB1_complex_BCELL Cytoplasm,isDescribedBy,
OAS2_BCELL Cytoplasm,1,OAS2_rna_BCELL Nucleus,isDescribedBy,
TRIM6_BCELL Cytoplasm,1,TRIM6_rna_BCELL Nucleus,isDescribedBy,
MAP2K6_BCELL Cytoplasm,1,(EIF2AK2_space_homodimer_BCELL Cytoplasm|MAP3K5_BCELL Cytoplasm|MAP3K7_BCELL Cytoplasm),isDescribedBy,
STAT3_BCELL Cytoplasm,1,JAK2_BCELL Cytoplasm,isDescribedBy,
TNF/TNFR1_complex_BCELL Cytoplasm,1,TNF_Extracellular&TNFRSF1A_BCELL Cytoplasm,isDescribedBy,
SHC1_BCELL Cytoplasm,1,(SRC_BCELL Cytoplasm|IL21/IL21R_complex_BCELL Cytoplasm),isDescribedBy,
MAP3K7_BCELL Cytoplasm,1,TAB1/TAB2/TAB3_complex_BCELL Cytoplasm,isDescribedBy,
"PI(3,4,5)P3_BCELL Cytoplasm",1,"(PLCG_BCELL Cytoplasm_1|PLCB_BCELL Cytoplasm_1|PI3K_BCELL Cytoplasm_1)&PI(4,5)P2_BCELL Cytoplasm&!PTEN_BCELL Cytoplasm",isDescribedBy,
MT2A_BCELL Cytoplasm,1,MT2A_rna_BCELL Nucleus,isDescribedBy,
CASP3_BCELL Cytoplasm,1,(BAD_BCELL Cytoplasm|CASP8_BCELL Cytoplasm|SHISA5_BCELL Cytoplasm)&!XIAP_BCELL Cytoplasm&!BIRC2_BCELL Cytoplasm_1,isDescribedBy,
ADAR_BCELL Cytoplasm,1,ADAR_rna_BCELL Nucleus,isDescribedBy,
IFIH1_BCELL Cytoplasm,1,(dsRNA_BCELL Cytoplasm|TRIM25_BCELL Cytoplasm)&!NLRC5_BCELL Cytoplasm_1&!UBE2L6_BCELL Cytoplasm,isDescribedBy,
SHISA5_BCELL Cytoplasm,1,SHISA5_rna_BCELL Nucleus,isDescribedBy,
HLA-DRB4_BCELL Cytoplasm,1,HLA-DRB4_rna_BCELL Nucleus,isDescribedBy,
IL15R_complex_BCELL Cytoplasm_1,1,IL15_Extracellular&IL15R_complex_BCELL Cytoplasm,isDescribedBy,
RIPK1_BCELL Cytoplasm_3,1,(TRAIL/TRAILR_complex_BCELL Cytoplasm|EIF2AK2_space_homodimer_BCELL Cytoplasm|TICAM1_BCELL Cytoplasm)&RIPK1_BCELL Cytoplasm_1,isDescribedBy,
GBP4_BCELL Cytoplasm,1,GBP4_rna_BCELL Nucleus,isDescribedBy,
CISH_BCELL Cytoplasm,1,CISH_rna_BCELL Nucleus,isDescribedBy,
IFNG/IFNGR_complex_BCELL Cytoplasm,1,IFNG_Extracellular&IFNGR_complex_BCELL Cytoplasm,isDescribedBy,
"CD80,86_BCELL Cytoplasm",1,"CD80,86_rna_BCELL Nucleus",isDescribedBy,
MAX_BCELL Cytoplasm,1,"MAPK11,12,13,14_BCELL Cytoplasm",isDescribedBy,
IFNB/IFNAR_complex_BCELL Cytoplasm,1,IFNB1_Extracellular&IFNAR_complex_BCELL Cytoplasm,isDescribedBy,
CFLAR_BCELL Cytoplasm,1,CFLAR_rna_BCELL Nucleus,isDescribedBy,
CHUK/CHUK_complex_BCELL Cytoplasm,1,MAP3K14_BCELL Cytoplasm,isDescribedBy,
TP53_BCELL Nucleus,1,EIF2AK2_space_homodimer_BCELL Cytoplasm_1&!MDM2_BCELL Cytoplasm_1,isDescribedBy,
SOCS2_rna_BCELL Nucleus,1,STAT5_space_homodimer_BCELL Nucleus,isDescribedBy,
GBP5_rna_BCELL Nucleus,1,STAT1_space_homodimer_BCELL Nucleus,isDescribedBy,
STAT1_space_homodimer_BCELL Nucleus,1,STAT1_BCELL Cytoplasm_3,isDescribedBy,
ISG15_rna_BCELL Nucleus,1,STAT1/STAT2/IRF9_complex_BCELL Nucleus,isDescribedBy,
IRF5_rna_BCELL Nucleus,1,(STAT1_space_homodimer_BCELL Nucleus|STAT1/STAT2/IRF9_complex_BCELL Nucleus),isDescribedBy,
IL17A_rna,1,(STAT3_space_homodimer_BCELL Nucleus|RELA/NFKB1_complex_BCELL Nucleus),isDescribedBy,
GBP4_rna_BCELL Nucleus,1,STAT1_space_homodimer_BCELL Nucleus,isDescribedBy,
IFI6_rna_BCELL Nucleus,1,STAT1/STAT2/IRF9_complex_BCELL Nucleus,isDescribedBy,
SP100_BCELL Nucleus,1,SP100_rna_BCELL Nucleus,isDescribedBy,
XIAP_rna_BCELL Nucleus,1,RELA/NFKB1_complex_BCELL Nucleus,isDescribedBy,
GBP2_rna_BCELL Nucleus,1,(STAT1/STAT2/IRF9_complex_BCELL Nucleus|STAT1_space_homodimer_BCELL Nucleus),isDescribedBy,
RELA/NFKB1_complex_BCELL Nucleus,1,NFKB1/RELA_complex_BCELL Cytoplasm,isDescribedBy,
TNFRSF10A_rna_BCELL Nucleus,1,(TP53_BCELL Nucleus|TNFSF10|TNFSF10|TNFSF10),isDescribedBy,
SOCS3_rna_BCELL Nucleus,1,STAT1/STAT2/IRF9_complex_BCELL Nucleus,isDescribedBy,
TRIM34_rna_BCELL Nucleus,1,STAT1_space_homodimer_BCELL Nucleus,isDescribedBy,
IFIT5_rna_BCELL Nucleus,1,STAT1/STAT2/IRF9_complex_BCELL Nucleus,isDescribedBy,
TRIM25_rna_BCELL Nucleus,1,STAT1_space_homodimer_BCELL Nucleus,isDescribedBy,
IFI35_rna_BCELL Nucleus,1,STAT1/STAT2/IRF9_complex_BCELL Nucleus,isDescribedBy,
STAT3_space_homodimer_BCELL Nucleus,1,STAT3_space_homodimer_BCELL Cytoplasm,isDescribedBy,
PML_rna_BCELL Nucleus,1,STAT1_space_homodimer_BCELL Nucleus,isDescribedBy,
MT2A_rna_BCELL Nucleus,1,STAT1_space_homodimer_BCELL Nucleus,isDescribedBy,
GBP1_rna_BCELL Nucleus,1,STAT1_space_homodimer_BCELL Nucleus,isDescribedBy,
RIPK1_rna_BCELL Nucleus,1,STAT1/STAT2/IRF9_complex_BCELL Nucleus,isDescribedBy,
